PULocationID,hour,day_of_week,is_weekend,predicted_total,predicted_long,predicted_long_rate,LocationID,Borough,Zone,recommendation_score
117,4,3,0,0.841941883769004,0.841941883769004,1.0,117,Queens,Hammels/Arverne,0.841941883769004
260,4,3,0,1.9447613677967603,0.8245834218747519,0.42400236632061994,260,Queens,Woodside,0.8245834218747519
65,4,3,0,1.096929872816485,0.8210435045562718,0.7484922463166718,65,Brooklyn,Downtown Brooklyn/MetroTech,0.8210435045562718
127,4,3,0,1.6564530354900078,0.8210212748790292,0.49565019791590814,127,Manhattan,Inwood,0.8210212748790292
72,4,3,0,1.2299922956514933,0.8210212748790292,0.6675011524719809,72,Brooklyn,East Flatbush/Remsen Village,0.8210212748790292
130,4,3,0,1.3533619599741964,0.8210212748790292,0.6066531343135159,130,Queens,Jamaica,0.8210212748790292
152,4,3,0,1.742467291653852,0.797018572912857,0.4574080539304539,152,Manhattan,Manhattanville,0.797018572912857
24,4,3,0,2.551782603953225,0.7792394888036474,0.30537064074206344,24,Manhattan,Bloomingdale,0.7792394888036474
167,4,3,0,0.9808270220952086,0.743627892509856,0.7581641571429628,167,Bronx,Morrisania/Melrose,0.743627892509856
56,4,3,0,0.9808270220952086,0.743627892509856,0.7581641571429628,56,Queens,Corona,0.743627892509856
77,4,3,0,1.2507692312243117,0.743627892509856,0.5945364452097675,77,Brooklyn,East New York/Pennsylvania Avenue,0.743627892509856
33,4,3,0,0.9124975715515674,0.7196251905436838,0.788632444599351,33,Brooklyn,Brooklyn Heights,0.7196251905436838
66,4,3,0,0.9124975715515674,0.7196251905436838,0.788632444599351,66,Brooklyn,DUMBO/Vinegar Hill,0.7196251905436838
91,4,3,0,1.1010302834617813,0.7109449164145699,0.6457087757652472,91,Brooklyn,Flatlands,0.7109449164145699
119,4,3,0,1.0666346462328953,0.7109449164145699,0.6665308678331999,119,Bronx,Highbridge,0.7109449164145699
259,4,3,0,0.7670937656078932,0.6480391857485835,0.8447978784380247,259,Bronx,Woodlawn/Wakefield,0.6480391857485835
173,4,3,0,1.507499034655524,0.6444770387528609,0.4275140639808962,173,Queens,North Corona,0.6444770387528609
14,4,3,0,0.6876643263763377,0.6444770387528609,0.9371971382446823,14,Brooklyn,Bay Ridge,0.6444770387528609
193,4,3,0,0.9679678606267729,0.6444770387528609,0.6658041707454552,193,Queens,Queensbridge/Ravenswood,0.6444770387528609
43,4,3,0,1.120094856945131,0.6394320973669054,0.5708731661449176,43,Manhattan,Central Park,0.6394320973669054
248,4,3,0,0.6876643263763377,0.5830954663573165,0.8479361862930288,248,Bronx,West Farms/Bronx River,0.5830954663573165
254,4,3,0,0.7670937656078932,0.5830954663573165,0.7601358432306317,254,Bronx,Williamsbridge/Olinville,0.5830954663573165
264,4,3,0,0.9149453064801373,0.5830954663573165,0.6373008990018519,264,Unknown,Zone 264,0.5830954663573165
222,4,3,0,0.5537716699300904,0.5537716699300904,1.0,222,Brooklyn,Starrett City,0.5537716699300904
212,4,3,0,0.7670937656078932,0.5509279489043701,0.7182015727474728,212,Bronx,Soundview/Bruckner,0.5509279489043701
69,4,3,0,0.5962438197971722,0.5509279489043701,0.9239977516107127,69,Bronx,East Concourse/Concourse Village,0.5509279489043701
92,4,3,0,0.6876643263763377,0.5509279489043701,0.8011582508685554,92,Queens,Flushing,0.5509279489043701
213,4,3,0,0.8818311817616227,0.5509279489043701,0.6247544431393189,213,Bronx,Soundview/Castle Hill,0.5509279489043701
81,4,3,0,0.5537716699300904,0.5040780818657201,0.9102633977815374,81,Bronx,Eastchester,0.5040780818657201
10,4,3,0,0.7460191137615736,0.4914709570945156,0.6587913741464657,10,Queens,Baisley Park,0.4914709570945156
136,4,3,0,0.4948579200019497,0.4914709570945156,0.9931556861666057,136,Bronx,Kingsbridge Heights,0.4914709570945156
95,4,3,0,0.47378326815563027,0.47378326815563027,1.0,95,Queens,Forest Hills,0.47378326815563027
250,4,3,0,0.48176068610162354,0.45469643242123786,0.9438222037182239,250,Bronx,Westchester Village/Unionport,0.45469643242123786
181,4,3,0,0.8266899474138806,0.45113428542551504,0.5457115897402531,181,Brooklyn,Park Slope,0.45113428542551504
101,4,3,0,0.5186662222506123,0.4139179864649087,0.7980430741543629,101,Queens,Glen Oaks,0.4139179864649087
219,4,3,0,0.48176068610162354,0.4139179864649087,0.8591775925393713,219,Queens,Springfield Gardens South,0.4139179864649087
106,4,3,0,0.6032113482701824,0.4139179864649087,0.686190648852833,106,Brooklyn,Gowanus,0.4139179864649087
47,4,3,0,0.4948579200019497,0.4139179864649087,0.836438035513866,47,Bronx,Claremont/Bathgate,0.4139179864649087
210,4,3,0,0.43803107610442205,0.4139179864649087,0.9449511896417023,210,Brooklyn,Sheepshead Bay,0.4139179864649087
258,4,3,0,0.9808270220952086,0.37813793496947423,0.3855296871427024,258,Queens,Woodhaven,0.37813793496947423
203,4,3,0,0.5186662222506123,0.3745757879737514,0.7221904413755357,203,Queens,Rosedale,0.3745757879737514
85,4,3,0,0.5537716699300904,0.3745757879737514,0.6764083616286092,85,Brooklyn,Erasmus,0.3745757879737514
28,4,3,0,0.6173184716434919,0.3745757879737514,0.6067788429795651,28,Queens,Briarwood/Jamaica Hills,0.3745757879737514
122,4,3,0,0.3836485952073972,0.3745757879737514,0.9763512564701531,122,Queens,Hollis,0.3745757879737514
55,4,3,0,0.5962438197971722,0.3745757879737514,0.628225862535855,55,Brooklyn,Coney Island,0.3745757879737514
235,4,3,0,0.4948579200019497,0.37207993484938773,0.7518924519747441,235,Bronx,University Heights/Morris Heights,0.37207993484938773
242,4,3,0,0.42126463421324695,0.360622151251582,0.8560465844114336,242,Bronx,Van Nest/Morris Park,0.360622151251582
189,4,3,0,0.8208672319226844,0.35706000425585915,0.4349789958353336,189,Brooklyn,Prospect Heights,0.35706000425585915
62,4,3,0,0.5821366964238628,0.35706000425585915,0.6133610996340252,62,Brooklyn,Crown Heights South,0.35706000425585915
200,4,3,0,0.3836485952073972,0.35706000425585915,0.930695455988404,200,Bronx,Riverdale/North Riverdale/Fieldston,0.35706000425585915
121,4,3,0,0.4948579200019497,0.35706000425585915,0.7215404459010222,121,Queens,Hillcrest/Pomonok,0.35706000425585915
124,4,3,0,0.43803107610442205,0.35706000425585915,0.8151476544343164,124,Queens,Howard Beach,0.35706000425585915
252,4,3,0,0.3836485952073972,0.32164038798196865,0.8383723855631285,252,Queens,Whitestone,0.32164038798196865
247,4,3,0,0.5326970180837708,0.32164038798196865,0.6037961112284435,247,Bronx,West Concourse,0.32164038798196865
78,4,3,0,0.3836485952073972,0.3180782409862458,0.829087464309091,78,Bronx,East Tremont,0.3180782409862458
196,4,3,0,0.42126463421324695,0.3180782409862458,0.7550556471000424,196,Queens,Rego Park,0.3180782409862458
159,4,3,0,0.6173184716434919,0.3180782409862458,0.5152579350807754,159,Bronx,Melrose South,0.3180782409862458
195,4,3,0,0.35916200454987945,0.3180782409862458,0.8856121665343695,195,Brooklyn,Red Hook,0.3180782409862458
38,4,3,0,0.42126463421324695,0.3180782409862458,0.7550556471000424,38,Queens,Cambria Heights,0.3180782409862458
131,4,3,0,0.5186662222506123,0.3180782409862458,0.6132619155456682,131,Queens,Jamaica Estates,0.3180782409862458
26,4,3,0,0.35916200454987945,0.28805460307230657,0.8020185861066,26,Brooklyn,Borough Park,0.28805460307230657
220,4,3,0,0.42126463421324695,0.28805460307230657,0.683785392073742,220,Bronx,Spuyten Duyvil/Kingsbridge,0.28805460307230657
126,4,3,0,0.3836485952073972,0.28805460307230657,0.7508292918851603,126,Bronx,Hunts Point,0.28805460307230657
70,4,3,0,0.28043625680527995,0.28043625680527995,1.0,70,Queens,East Elmhurst,0.28043625680527995
191,4,3,0,0.4948579200019497,0.2534787268139881,0.5122252601574799,191,Queens,Queens Village,0.2534787268139881
40,4,3,0,0.42126463421324695,0.2534787268139881,0.6017090119311451,40,Brooklyn,Carroll Gardens,0.2534787268139881
83,4,3,0,0.6876643263763377,0.2534787268139881,0.3686082251055538,83,Queens,Elmhurst/Maspeth,0.2534787268139881
208,4,3,0,0.5186662222506123,0.2534787268139881,0.48871261697761126,208,Bronx,Schuylerville/Edgewater Park,0.2534787268139881
180,4,3,0,0.35916200454987945,0.22935686572175482,0.638588889738481,180,Queens,Ozone Park,0.22935686572175482
135,4,3,0,0.2747712197926861,0.22935686572175482,0.8347193927180719,135,Queens,Kew Gardens Hills,0.22935686572175482
153,4,3,0,0.3283510782654325,0.22935686572175482,0.698511078243962,153,Manhattan,Marble Hill,0.22935686572175482
32,4,3,0,0.35916200454987945,0.22935686572175482,0.638588889738481,32,Bronx,Bronxdale,0.22935686572175482
138,4,3,0,1.6144594697387575,0.21061222302528157,0.13045370724565888,138,Queens,LaGuardia Airport,0.21061222302528157
265,4,3,0,1.507499034655524,0.19801931148496182,0.13135617796943458,265,Unknown,Outside of NYC,0.19801931148496182
183,4,3,0,0.29919155309142115,0.194457164489239,0.649942027039181,183,Bronx,Pelham Bay,0.194457164489239
133,4,3,0,0.35916200454987945,0.194457164489239,0.5414190867236718,133,Brooklyn,Kensington,0.194457164489239
134,4,3,0,0.29919155309142115,0.194457164489239,0.649942027039181,134,Queens,Kew Gardens,0.194457164489239
